code,lat,lon
AE,24.219302,55.753731
AE,24.172921,55.719899
AE,24.231222,55.733019
AE,24.243583,55.726779
AE,24.188009,55.68792
AE,24.274663,55.779172
AE,24.243636,55.71701
AE,24.24469,55.717253
AE,24.267005,55.734189
AE,24.213316,55.666778
AE,24.195469,55.647858
AE,24.2187,55.641442
AE,24.48311,55.77399
AE,24.104702,55.440751
AE,24.585631,55.053611
AE,24.585669,55.053585
AE,25.027596,55.267153
AE,25.355882,56.351082
AE,25.151276,56.344841
AE,25.125593,56.30138
AE,25.133235,56.346149
AE,25.074454,55.402717
AE,25.009655,55.29137
AE,24.303396,54.622076
AE,24.457592,54.673552
AE,24.386922,54.723377
AE,24.454883,54.723729
AE,24.523448,54.670817
AR,-34.547348,-58.485948
AR,-34.547348,-58.485858
AR,-34.550916,-58.466774
AR,-34.535834,-58.466928
AR,-34.525983,-58.474728
AR,-34.557695,-58.460546
AR,-34.562778,-58.456276
AR,-34.576668,-58.482647
AR,-34.554794,-58.449336
AR,-34.572935,-58.459374
AR,-34.55983,-58.445274
AR,-34.509093,-58.491947
AR,-34.568813,-58.443745
AR,-34.570443,-58.443969
AR,-34.567794,-58.4368
AR,-34.508636,-58.523224
AR,-34.578014,-58.438144
AR,-34.506768,-58.523491
AR,-34.584575,-58.435814
AR,-34.57519,-58.425356
AR,-34.489839,-58.485391
AR,-34.571917,-58.42168
AR,-34.581832,-58.42804
AR,-34.489259,-58.499991
AR,-34.558379,-58.41019
AR,-34.574442,-58.416297
AR,-34.598666,-58.440152
AR,-34.589835,-58.425611
AR,-34.611792,-58.518163
AR,-34.497796,-58.545517
AR,-34.580807,-58.410449
AR,-34.586575,-58.414098
AR,-34.57785,-58.405995
AR,-34.575586,-58.404014
AR,-34.587978,-58.409652
AR,-34.592319,-58.412618
AR,-34.587413,-58.407765
AR,-34.490901,-58.547632
AR,-34.470386,-58.511856
AR,-34.584775,-58.399801
AR,-34.618671,-58.437291
AR,-34.617189,-58.43399
AR,-34.597871,-58.406615
AR,-34.590791,-58.400619
AR,-34.615562,-58.4291
AR,-34.589466,-58.398381
AR,-34.603912,-58.410938
AR,-34.60404,-58.410992
AR,-34.622293,-58.437357
AR,-34.604213,-58.40883
AR,-34.599596,-58.40046
AR,-34.60936,-58.397202
AR,-34.5957,-58.395991
AR,-34.600682,-58.392956
AR,-34.60445,-58.392312
AR,-34.604569,-58.390987
AR,-34.59606,-58.393272
AR,-34.602881,-58.386377
AR,-34.588792,-58.393643
AR,-34.609274,-58.384918
AR,-34.595678,-58.385854
AR,-34.585616,-58.39339
AR,-34.604593,-58.382199
AR,-34.603606,-58.380942
AR,-34.59901,-58.380961
AR,-34.583946,-58.390594
AR,-34.60493,-58.379153
AR,-34.603457,-58.379116
AR,-34.589049,-58.384249
AR,-34.616485,-58.381815
AR,-34.616694,-58.381589
AR,-34.597064,-58.378442
AR,-34.611709,-58.378743
AR,-34.60798,-58.374965
AR,-34.598942,-58.375034
AR,-34.596922,-58.37535
AR,-34.604566,-58.373918
AR,-34.606243,-58.373698
AR,-34.605306,-58.372574
AR,-34.605953,-58.370991
AR,-34.612621,-58.374852
AR,-34.603431,-58.372271
AR,-34.610702,-58.366136
AR,-34.599091,-58.372736
AR,-34.600444,-58.36879
AR,-34.598735,-58.374347
AR,-34.613772,-58.366175
AR,-34.601144,-58.364731
AR,-34.59514,-58.371869
AR,-34.620778,-58.37141
AR,-34.59321,-58.376136
AR,-34.591183,-58.374224
AR,-34.634115,-58.375632
AT,48.200706,16.358635
AT,48.198655,16.350052
AT,48.200786,16.368764
AT,48.202868,16.370227
AT,48.207627,16.367094
AT,48.208554,16.369449
AT,48.213186,16.362802
AT,48.196622,16.337601
